english,farsi
dishonest,بدحساب
dishonest,تقلبآميز
dishonest,نادرست
dishonest,رند
dishonest,بي صداقت
dishonest,بي صراحت
dishonest,بدمعامله
dishonest,بي ذات
dishonest,فاقد امانت
dishonest,بي ديانت
dishonestly,رندانه
dishonesty,رندي
dishonesty,عدم امانت
dishonesty,رجز
dishonesty,نادرستي
dishonor,ننگين کردن
dishonorable,بي شرف
dishonorably,بيشرفانه
dishwasher,کارگر طرفشو
dishwasher,ظرفشو
disillusion,سرخورده کردن
disinclination,عدمتمايل
disincline,بي ميل کردن
disincline,بي رغبت کردن
disinclined,بي تمايل
disinfect,گندزدائي کردن
disinfect,ضد عفوني کردن
disinfectant,ماده گندزدا
disinfectant,گندزدا
disinfection,گندزدائي
disinfection,ضد عفوني
disinflation,کاهش ورم
disintegrate,متلاشي کردن
disintegrate,متلاشي شدن
disintegrated,متلاشي
disinterest,بيعلاقه شدن
disinterested,بيطمع
disinterested,بيغرضانه
disinterested,بي اشتياق
disinterested,سست سغبت
disinterested,بي علاقه
disinterestedness,بي علاقگي
disjoin,بيربط ساختن
disjoin,بيربطساختن
disk drive,گرده چرخان
disklike,قرص مانند
disklike,صفحه مانند
dislikable,غير محبوب
dislike,نپسنديدن
dislike,انزجار داشتن
dislike,مکروه داشتن
dislike,اکراه
dislike,بدآمدن
dislike,نفرت داشتن
dislike,نفرت کردن
dislike,بد دانستن
dislike,بيزاربودن
dislikeable,غير محبوب
dislocate,جابجا شدن
dislocate,در رفتن
dislocate,جابجا کردن
dislocated,دررفته
dislocation,جابجا شدگي
dislocation,دررفتگي
dislocation,جابجائي
dislocation,در رفتن
disloyal,نمک بحرام
disloyal,بي وفا
disloyal,خيانتکار
disloyal,بيوفا
disloyal,نمک ناشناس
disloyal,سست پيمان
disloyalty,سست پيماني
disloyalty,نمک بحرامي
disloyalty,بي وفائي
disloyalty,بيوفايي
disloyalty,نمک نشناسي
dismal,ملالت انگيز
dismay,بيجرات کردن
dismay,وحشت زدگي
dismember,تجزيه کردن
dismiss,معاف کردن
dismiss,معزول کردن
dismiss,بيرونکردن
dismiss,منفصل کردن
dismiss,جواب کردن
dismiss,عزل کردن
dismissal,برکناري
dismissal,اخراج
dismissed,مرخص
dismissed,منفصل
dismissed,برکنار
Disney World,دنياي ديسني
disobedience,نافرماني
disobedience,سرپيچي
disobedience,عدماطاعت
disobedience,گردنکشي
disobedience,تمرد
disobedience,سرکشي
disobedient,نامطيع
disobedient,نافرمان
disobedient,عاق
disobedient,سرپيچ
disobedient,حرف نشنو
disobedient,گردنکش
disobedient,سرکش
disobey,اطاعت نکردن
disobey,سرپيچي کردن
disobey,عاق کردن
disobey,نافرماني کردن
disoblige,ممنون نکردن
disorder,اغتشاش
disorder,بي نظمي
disorder,نابهنجاري
disorder,خلل
disorder,اختلال
disorder,بي انتظامي
disorder,تبلبل
disorder,بينظمي
disordered,بي سبک
disordered,هرکه هرکه
disordered,مغشوش
disorderliness,بي ترتيبي
disorderliness,بهمخوردگي
disorderly,بي نظم
disorderly,بي ترتيب
disorderly,غير منظم
disorderly,بينظم
disorderly,شلم شوربا
disorderly,نا منظم
disorderly,بي ترتيب
disorderly,اختلالي
disorganization,بهمريختگي
disorganize,بي نظم کردن
disorganized,بي سازمان
disorganized,نامرتب
disorganized,نامنظم
disorganized,شلخته
disorganized,بدون سازمان
disorganized,نابسامان
disorganized,نا مرتب
disorient,ناجور شدن
disparagement,انکارف ضيلت
disparity,عدم توافق
disparity,بي شباهتي
dispatch,اعزام کردن
dispatch,روانهسازي
dispatch,اعزام
dispatched,مرسول
dispensable,معاف کردني
dispensable,غيرواجب
dispensable,چشم پوشيدني
dispensable,چاره پذير
dispensary,پزشک سخانه
dispensation,عدمشمول
dispense with,رهاشدن از
dispense with,انصراف حاصل کردن
dispenser,ناظرهزينه
dispenser,کمک داروساز
dispenser,نسخهپيچ
dispenser,دوافروش
disperse,پراکندن
disperse,متفرق کردن
dispersed,پراکنده
dispersed,متفرق
dispersement,برهم خوردگي
dispersion,تفرق
dispersion,پراکنش
dispersion,تلاشي
dispersion,پراکندگي
dispersion,تفرقه
dispirit,افسردهکردن
dispirit,روحيهرا باختن
displace,جابجا کردن
displace,جا بجا کردن
displacement,جابجا شدگي
displacement,جانشين سازي
display,نمايش دادن
display,بخرج دادن
display,جلوه دادن
display,نمود کردن
display,به نمايش گذاشتن
display,جلوه داشتن
display charm,ملاحت بخرج دادن
display charm,ملاحت نشان دادن
display terminal,پايانه نمايشگر
display unit,واحد نمايش
displaying,معرظ
displease,ناخشنود کردن
displeased,دلخور
displeased,بي دماغ
displeasure,رنجش
displeasure,رنجيدگي
dispomania,جنون الکل
disport,خوشي کردن
disposability,مصرفي
disposable,قابل عرضه
disposal,درمعرض گذاري
disposal,دراختيار
disposition,طينت
disposition,غلق
disposition,طبع
disposition,مشرب
disposition,شيمه
dispositions,شيم
dispossessed,محروم
dispossession,سلب مالکيت
disposure,عرضه داشت
dispotic,مستبد
dispraise,هجا
disproportion,بيقوارگي
disproportion,عدمتجانس
disproportion,بي تناسبي
disproportionate,بي تناسب
disprovable,رد شدني
disputable,مجادلهاي
disputable,مباحثه پذير
disputable,قابل بحث
disputable,قابل مباحثه
disputant,منازعهکننده
disputation,مباحه
dispute,جدل کردن
dispute,جدال
dispute,جدال کردن
dispute,مناظره
dispute,مکابره کردن
dispute,مباحصه کردن
dispute,چونوچرا
dispute,جنجال
dispute,ماجرايي
dispute,جر
dispute,دعوا
dispute,مباحهکردن
dispute,جر و بحث
dispute,تنازع
dispute,معارضه
dispute,مرافعه
dispute,مناقشه کردن
dispute,غرغشه
dispute,منازعه کردن
dispute,مجادله
dispute,مرافعه کردن
dispute,نزاع
dispute,مجادله پرداختن
dispute,مشاجره
dispute,ستيزه
dispute,مکابره
dispute,مناقشه
dispute,مجادلهکردن
dispute,مجادله
dispute,منازعه
disputed about,متنازع فيه
disqualification,عدم صلاحيت
disqualify,شايسته ندانستن
disquiet,مضطرب ساختن
disrate,تقليل رتبه دادن
disregard,اعتنا نکردن
disregard,بي توجهي
disregard,بي اعتنائي
disregard,غمض عين کردن
disregard,بي اعتنايي
disregard,ناديده پنداشتن
disregard,عدمرعايت
disrelation,عدموابستگي
disrelation,عدمارتباط
disrepair,نيازمند تعمير
disreputable,بد نام
disreputable,بدنام
disrespect,بي احترامي کردن
disrespect,توهين
disrespect,عدمرعايت
disrespect,بي احترامي
disrespect,بياحترامي کردن
disrespectable,بي احترام
disrespectful,بدون مراعات
disrespectful,احترامنگذار
disrupt,درهم گسيختن
disruptive,نفاق افکن
dissatisfaction,نارضايتي
dissatisfaction,ناخشنودي
dissatisfaction,ناخرسندي
dissatisfaction,عدم رضايت
dissatisfaction,عدمرضايت
dissatisfactory,ناخرسندکننده
dissatisfied,ناراضي
dissatisfy,ناخرسند کردن
dissatisfy,ناراضي کردن
dissatisfy,ناخشنود کردن
dissect,تشريح کردن
dissection,تشريح
disseise,ازتصرف خارج کردن
dissemble,واچيدن
dissemination,پاشيدگي
dissentient,مخالف عقيده اکثريت
dissertation,رساله
dissertation,تز
dissertation,پايان نامه
dissertations,رسائل
disserve,بدخدمت کردن
disservice,بدخدمتي
dissidence,اختلاف راي
dissidence,عدم توافق
dissident,ناراضي
dissident,مخالف
dissimilar,ناهمسان
dissimilar,ناهمگن
dissimilar,غير متجانس
dissimilation,عدم تشابه
dissimulation,تقيه
dissipate,ازهم پاشيدن
dissociable,غيراجتماعي
dissociable,غيرمعاشرتي
dissocial,غيرمعاشر
dissociant,غيرمعاشرتي
dissociate,حشر نداشتن
dissociate,غيراجتماعي
dissociation,افتراق
dissoluble,قابل حل
dissolution,فسخ
dissolution,تجزيه
dissolution,انحلال
dissolvable,معاف شدني
dissolvable,آب شدني
dissolvable,حلشدني
dissolvable,تجزيهشدني
dissolve,آب کردن
dissolve,آب شدن
dissolve,تجزيه شدن
dissolve,فسخکردن
dissolve,انحلال کردن
dissolve,تجزيه کردن
dissolve,حل شدن
dissolve,منحل کردن
dissolve,حل کردن
dissolved,منحل
dissolved,آب شده
dissolvent,محلل
dissonance,بدآهنگي
dissonant,بدآهنگ
dissuade,منصرف کردن
dissuasive,منع کننده
dissymmatric,غيرمتقارن
dissymmetric,غيرمتقارن
distaff,فرموک
distaff,دشکي
distance,فاصله
distance,مسافت
distant,دور
distant,فاصلهدار
distant,غيرصميمي
distasteful,بد مزه
distasteful,شور مزه
distasteful,ناخوش آيند
distasteful,بدمزه
distastrous,واويلا
distemper,مرض هاري
distill,تقطير کردن
distill,عرق گرفتن از
distillation,عصارهگيري
distillation,تقطير
distillation,شيرهکشي
distillation,عرقکشي
distilled,مقطر
distilled,چکيده
distilled water,آب مقطر
distilled water,آب مقطر
distiller,عرق کش
distiller,تقطير کننده
distiller,شيرک چي
distillery,شيرک خانه
distillery,رسومات
distinct,شمرده
distinct,متباين
distinction,فرقان
distinction,فرق
distinction,تشخص
distinction,تشخيص
distinction,امتياز
distinctive,منش نما
distinctness,شمردگي
distinguishable,قابل تشخيص
distinguished,متشخص
distinguished,شخيص
distinguished,مشخص
distinguished,برجسته
distinguished,متمايز
distinguished symbol,نماد متمايز
distort,ازشکل طبيعي انداختن
distort,تحريف کردن
distorted,معدول
distorted,ملتوي
distorted,تحريف شده
distortion,تحريف
distract,پريشانکردن
distracted,واله
distracted,حواس پرت
distraction,پريشاني
distrain,گروه بندي
distrain,ضبط اموال
distrain,گروو کشيدن
distraint,گروکشي
distraint,توقيف اموال
distress,اضطرار
distress,فروماندگي
distress,پريشانحالي
distress,پريشاني
distress,ناچاري
distress,مضيقه
distress,متالم کردن
distress,محنت زده کردن
distressed,متاثر
distressed,پريشان خيال
distressed,پريشان
distressed,پريشانهال
distressing,پريشان کننده
distributary,پخش کننده
distributary,شعبهرود
distributary,انشعابي
distribute,پخش شدن
distribute,تقسيم کردن
distribute,غرماء کردن
distribute,توزيع کردن
distributed,تقسيمشده
distributed,مقسوم
distribution,پخش
distribution,توزيع
distribution,تقسيم
distribution,سرشکني
distributive,توزيعي
distributor,دلکو
distributor,مقسم
distributor,پخش کننده
distributor,پخشگر
district,محله
district governing,بخشداري
district governor,بخشدار
district governor,بخش دار
district manager,رئيس بخش
districts,نواحي
distrust,عدم اعتماد
distrust,اعتماد نداشتن
disturb,منغص کردن
disturb,تيره کردن
disturb,بر آشفتن
disturb,پريشانکردن
disturb,ناراحت کردن
disturb,آشوبناک کردن
disturb,آشفته کردن
disturb,پريشان کردن
disturb,مضطرب کردن
disturb,برهم زدن
disturb,بهم زدن
disturb,مشوش کردن
disturb,بهم خوردن
disturb peace,مخل آسايش شدن
disturbance,غائله
disturbance,غوغا
disturbance,اغتشاش
disturbance,دغدغه
disturbance,آشوب
disturbance,آشفتگي
disturbance,آشب
disturbance,مزاحمت
disturbe peace,مخل آسايش بودن
disturbed,مختل
disturbed,مختل شده
disturbed,آشفته حال
disturbed,مضطرب
disturbed,مشوش
disturbed,منغص
disturbed,ناآرامي
disturbed,آشفته
disunion,عدم اتفاق
disunion,جدا شدگي
disunite,نفاق انداختن
disunite,باهم بيگانه کردن
disuse,عدم استعمال
disyllabic,دوسيلابي
ditch,چال
ditch,چاله
ditch,حفره
ditch,خندق کندن
ditch,راهآب
ditch,نهرآب
ditch,گودال
ditch,خندق
diuretic,مدر
diurnal,مربوط به روز
diurnal,روز خيز
divalent,دوارزشي
divaricate,از هم جداشدن
divaricate,دوشاخهشدن
dive,غوص کردن
dive,شيرجه رفتن
dive,غوطه دادن
dive,غوطه خوردن
dive,شيرجه
dive,غواصي کردن
dive,غوطه
diver,غواص
diver,آب باز
diver,غواص
diverge,متشتت شدن
diverge,از هم دور شدن
diverge,واگراييدن
divergence,واگرايي
divergence,تباعد
divergent,واگرا
divergent,متباعد
diverse,گوناگون
diversified,متشتت
diversion,عدول
diversity,گوناگوني
diversity,خلاف
diversity,تنوع
divert,عطف کردن
divert,معطوف داشتن
diverticulum,استطاله
diverticulum,کوره راه
divide,منقسم کردن
divide,سهم کردن
divide,بخش کردن
divide,تقسيمبندي کردن
divide,تسهيم کردن
divide,تقسيم کردن
divide and rule,تفرقه بيانداز و حکومت کن
divided,منشعب
divided,بي توافق
divided,منقسم
divided,تقسيمشده
divided,مقسوم
dividend,سود سهام
divider,مقسم
dividing,تسهيم
divination,تفال
divination,کهانت
divination,غيبگويي
divine,اللهي
divine,خدايي
divine,غيبگوئي کردن
divine,يزداني
divine,کبرياء
divine,وجداني
divine,خدايي
divine,رحماني
divine,سبحاني
divine,رباني
divine,الهي
divine,لدني
divine grace,توفق الهي
divine love,عشق الاهي
divine power,فروهر
divine will,مشيت الهي
diviner,غيبگو
diving,غواصي
diving,غوص
diving,غوطه
diving board,تخته شيرجه
divining rod,آب ياب
divinity,وحدانيت
divinity,الوهيت
divinity,خدايي
divinity,کبريائي
divisible,بخش پذير
division,انشقاق
division,تفرقه
division,سرشکني
division,انشعاب
division,بخش
division,شعبه
division,تقسيم
division,جدايي
divisor,بخش ياب
divisor,مقسوم عليه
divorce,طلاق دادن
divorce,طلاق گرفتن
divorce,متارکه
divorce,طلاق
divorced,مطلقه
divulge,منتشر کردن
Diyana,ديانا
dizziness,سرگيجه
dizziness,دوار
dizzy,سرگيجهاي
dizzy,گيج رفتن
dizzy,منگ
dizzy,دبنگ
Djibouti,جيبوتي
do,سوال ميايد
do,عمل کردن
do,انجام دادن
do,کردن
do,فعل معين
do,اجرا نمودن
do,قائل شدن
do,به انجام رساندن
do a critic,نقادي کردن
do a somersault,وارو زدن
do banking,صرافي کردن
do felting,نمد ماليدن
do good,ثواب کردن
do good,خوبي کردن
do good,نيکويي کردن
do good,نفع رساندن
do good,خير کردن
do holy war,جهاد کردن
do plumb,لوله کشي کردن
do well,معرکه کردن
doable,انجام شدني
docile,سر براه
dock,جاخالي کردن
dock,بارانداز
dockage,لنگراندازي
docking,باراندازي
docktailed,دم کل
doctor,طبيب
doctor,دکتر
doctor,پزشک
doctor,دکتر
doctor fee,حق القدم
doctor of medicine,دکتر در طو
doctoral,دکتري
doctoral dissertation,رساله دکترا
doctorate,دکترا
doctorate,عنوان دکتري
doctrinal,عقيدهاي
doctrinal,تعليماتي
doctrine,افراس
doctrine,اصول
doctrine,افراه
document,دستاويز
document,سند
document,ملاک عمل
document,خط
document,مدرک
documentary,مستند
documentary,اسنادي
documentary,سندي
documentary,مستند
documentation,مستندات
documents,مدارک
documents,سوابق
documents,اسناد
dodecagon,دوازده ضلعي
dodecahedral,دوازده وجهي
dodge,جا خالي دادن
dodge,جاخالي دادن
dodge,جا خالي کردن
dodge,گريز زدن
dodger,جاخالي کن
dodging,جاخالي
Dodi Fayed,رودي فايد
doer,فاعل
doer,کننده
doer,فاعل
doff,لباس کندن
dog,سگ نر
dog,کلب
dog,سگ
dog paddle,شناي سگي
Dog Star,شعرا
dog trainer,سگ باز
dogberry,زغال اخته
doggish,سگ صفت
doggone,نفرين شده
doggy,سگ کوچولو
doggy,سگي
doghouse,سگ داني
dogleg,نوعي نرده
doglike,سگسار
dogma,اصول عقايد
dogmatic,جزمي
dogmatic,متعصب
dogmatic,کوته فکر
dogmatism,فلسفه جزمي
dogmatist,کوتاه فکر
dogwood,چپ چپي
dole,به بيکاران
doleful,جان سوز
doll,عروسک
dollar,دلاري
Dollar,دلار
Dollar,دلار
dolma,دلمه
dolman,طولامه
dolman,لباده
dolour,انذدوه
dolphin,دلفين
dolt,کله خر
doltish,کله خر
domain,حوزه
dome,قلعه گرد
dome,گنبد زدن
dome,گنبد
domestic,اهلي
domestic,داخلي
domestic,خانگي
domestic,خانوادگي
domesticity,زندگاني خانگي
domical,گنبدي
domical,گنبدوار
domicil,محل اقامت
domicile,مقر
domicile,محل اقامت
domiciliation,ماواگيري
dominance,غلبه
dominance,تفوق
dominant,حاکمه
dominant,چيره
dominant,حکم فرما
dominant,حکمفرما
dominant,غالب
dominate,تسلط داشتن
dominate,تفوق جستن
dominate,تسلط يافتن
dominate,تفوق يافتن
dominate,مسلط شدن
dominate,مستولي شدن
dominate,استيلاء يافتن
dominate,مستولي گرديدن
domination,استيلاء
domination,سلطه
domination,تسلط
domination,تحکم
domineer,تحکم کردن
domineering,تحکمآميز
Dominican Republic,جمهوري دومينيکن
domino,دمنو
domino,دمينo
domino,دمينو
domisticated animals,دام
Don Dsuza,دان دسوزا
Donald Rumsfeld,دوناد رامزفيلد
donate,اعطا کردن
donate,هبه کردن
donate,هديه دادن
donate,اعطاء کردن
donate blood,خون دادن
donated,اعطائي
donation,دهش
donation,انفاق
donation,سماحت
donation,تبرع
donation,هبه
donations,مبرات
done,صورت گرفته
done,مفعول
done,انجام شده
donee,متهب
donee,موهب اليه
donjon,مزبله دان
donkey,دراز گوش
donkey,حمار
donkey,خر
donkey,الاغ
donkeywork,خر کاري
donor,دهنده
donor,دهنده
donor,مصالح
doom,سرنوشت بد
doomsday,محشر
doomsday,حشر
doomsday,نشور
door,درب
door fastening,بست در
door frame,باهو
door keeper,حاجب
doorbell,زنگ در
doorbell,زنگ اخبار
doorkeeper,دربان
doorkeeper,دربازکن
doormat,پادري
doornail,گل ميخ
doors,ابو هنيفه
doors,ابواب
doorstep,آستانه در
doorway,جاي در
doorway,درگاه
doorway,در گه
dope,داروي مخدر
doping,دوپينگ
doping,ناخالص سازي
dormancy,کمون
dormancy,نهفتگي
dormant,نايم
dormant,درحال کمون
dormant,نهفته
dormitory,خوابگاه
dormitory,مدرسه وغيره
doronicum,درونج
Dorri,دري
dorsal,ضهري
dorsum pedis,پشت پا
Dortmund,دورتموند
dose,مقدار دوا
Doseldorf,دوسلدورف
dossier,دوسيه
dot,نقطه نقطه کردن
dot,منقوط کردن
dot,نقطه دار کردن
dot,نقطه
dotage,خرف
dotard,خرفت
dotted,معجم
dotted,نقطه نقطه
double,دوچندان کردن
double,دوچندان
double,دو برابر شدن
double,دوترکه
double,مثني
double,دو برابر کردن
double,دوتائي
double,دوبرابر کردن
double,دولا کردن
double,دو مقابل
double,دوبرابر شدن
double,مضاعف کردن
double,مضاعف
double ace,دوکور
double axe,تبر دوسر
double chin,غبغب
double cross,نارو زدن
double vision,دو ديد
double vision,دوبيني
double wrench,آچار دوسر
double-acting pump,تلمبه مضاعف
double-barrelled,دولول
double-breasted,چهار دکمهاي
double-cased,دوقاب
double-dealer,ناروزن
double-dealing,دورنگي
double-edged,دودم
double-headed,دوسر
double-width,دولاپهنا
doubled,دوبله
doubt,شک
doubt,ترديد داشتن
doubt,ترديد کردن
doubt,شک داشتن
doubt,ترديد
doubt,ريب
doubt,شايبه
doubt,شک کردن
doubt,شبهه
doubter,ديرباور
doubtful,دوبشک
doubtful,مشکوک
doubtless,بدون شک
doubtless,بي ترديد
dough,خمير
dough,خمير
doughface,گوشت آلود
doughy,خميري
dovetailed,دم فاخته اي
dow,قوي بودن
dow,معتبر بودن
dowel,قطعه چوبي
down,به پايين
down,خراب شدن
down payment,پيش قسط
down payment,ربون
down pour,بارش
down with,مرده باد
downfall,ريزش
downgrading,تنزيل رتبه
downhill,نشيب
downhill,نشيب
downpayment,بيعانه
downpour,سيل
downpour,ريزش
downpour,بارش متوالي
downpour,فرو ريزي
downtrend,سير نزولي
downtrodden,منکوب شده
downward,فرو
downward,فرو
dowry,شيربها
dowry,جهاز
dowry,صداق
dowry,جهيز
dowry,مهريه
dowse,ميل زدن
dowse,گمانه زدن
doxology,عبارت تسبيحي
doxology,سرود نيايش
doxy,لگوري
doyen,شيخ السفراء
doyen,مقد السفراء
doyenne,زن والامقام
doze,چرت زدن
dozen,دوجين
drab,زن شلخته
drab,کسل کننده
drabble,گلي شدن
drachma,درهمي
drachma,درم
draft,مشمول کردن
draft,مشمول نظام کردن
draft,چرک نويس
draft,مسوده
draft,برات
draft,چرک نويس کردن
draft,پيش نويس
draftsman,نقشه کش
drag,باتورگرفتن
drag,سخت کشيدن
drag,کشان کشان بردن
drag,بزور کشيدن
dragging,کشان کشان
draggle,چرک کردن
dragon,اژدها
dragonfly,سنجاقک
drain,زير آب زدن
drain,زير آب
drain,خشکاندن
drain,زير آب
drain,زهکشي کردن
drain,آبگذر
drain pipe,زهکش
drainage,زهکشي
drained,خشکانيده
drained,خالي شدن
drake,مرغابي نر
drama,درام
dramatic,نمايشي
dramatics,شبيه سازي
dramatics,هنر تاتر
dramatis personae,هنرپيشگان نمايشنامه
dramatist,شبيه ساز
dramaturgy,شبيه سازي
drape,با پارچه مزين کردن
draper,پارچه فروش
draper,ماهوت فروش
drapery,ماهوت فروشي
drapery,پردهاي
drapery,پارچه بافي
drapery,پارچه فروشي
Draskovich,دراسکوويچ
drastic,عنيف
draught,کوران
draught,باد
draw,رسم کردن
draw,کشيدن
draw,نگاشتن
draw,کشاندن
draw,ترسيم نمودن
draw,قرعه کشيدن
draw,نقاشي کردن
draw,جلب کردن
draw,نقش کردن
draw,دم کشيدن
draw,قرعه کشي
draw in,بداخل کشيدن
draw line,خط کشيدن
draw lines,خط خط کردن
draw lines,خط کشي کردن
draw out,استخراج کردن
draw up,سيخ ايستادن
drawbridge,پل متحرک
drawbridge,دريچه متحرک
drawee,محال عليه
drawee,برات گير
drawee,محال عليه
drawer,نقشه کش
drawer,زير شلواري
drawer,برات کش
drawing,نقشه کشي
drawing,قرعه کشي
drawing,قرعه کشي
drawing,نقشه کشي
drawing,ترسيم
drawing lines,خط کشي
drawl,کشيده حرف زدن
drawn,منجذب
drawn,مستغرق شدن
drawplate,مفتول کشي کردن
drayman,گاري بر
dread,بيم
dread,نهيب
dread,هراس کردن
dread,خوف کردن
dreadful,موحش
dreadful,مهيب
dreadful,سهمناک
dreadful,سهمگين
dreadful,مدهش
dreadful,هراسناک
dreadful torture,عذاب اليم
dream,خواب
dream,رويا ديدن
dream,خواب ديدن
dream,خواب
dream,رويا
dreamer,خيالباف
dreary,مايه افسردگي
dredge,لاروبي کردن
dredger,لاروب
dreg,درده
dregs,لرد
drench,خيس کردن
dress,پوشاک
dress,لباس
dress,پانسمان کردن
dress,ملبس کردن
dress,جامه دربر کردن
dress,جامه بتن کردن
dress,لباس پوشيدن
dressed,ملبس
dressing gown,لباس خانه
dressing room,رخت کن
dressmaker,خياط زنانه
dribble,فوتبال توپ
dried,پلاسيده
dried,خشکه
dried,خشکيده
dried,خشکبار
dried fruits,آجيل
dried nuts,آجيل
dried peach,جوزاغند
dried pomegranate seeds,نار دانه
drier,خشک کن
driftage,آب آورد
drill,مته زدن
drill,دريل
drill,مته
drill,متهزدن
drill,مته کردن
drill,تمرين
drill,مشق نظامي
drill,متهکردن
drill,مثقب
drill,بامته سوراخ کردن
drill press,مته فشاري
drillbit,سرمته
drilling,مته زني
drilling derrick,برج چاه
drily,با خشگي
drink,نوش کردن
drink,رفع عطش کردن
drink,ميگساري کردن
drink,خوردن
drink,آشاميدن
drink,نوشيدني
drink,نوشابه
drink,آشاميدني
drink,نوشيدن
drink,گساردن
drink,مشروب خوردن
drink,سر کشيدن
drink tea,چاي نوشيدن
drink tea,چاي خوردن
drinkable,نوشيدني
drinkable,مشروب
drinker,نوشنده
drinker,شارب
drinker,آشامنده
drinker,مشروب خور
drinker,خوار
drinker,ميخواره
drinker,مشروبخوار
drinking,شرب
drinking fountain,آبخوري
drinking place,مشرب
drinking place,سقا خانه
drinking water,آب مشروب
drinks,اشربه
drip,چکه کردن
drip,چکاچک کردن
drip,چکيدن
drip,چکاندن
dripping,جزغال
drippy,هواي گرفته
drippy,کسل کننده
drive,رانندگي کردن
drive,راندن
drive away,چخ کردن
drive roughly,خرکي رفتن
drive rougly,خرکي رفتن
drive shaft,محور محرک
driveable,راندني
driven,رانده
driver,راننده
driver,شوفر
driver,گاريچي
driver,راننده
driver,ماشين ران
driver's license,گواهينامه رانندگي
driver's license,تصديق رانندگي
driving,اتومبيل راندن
driving,اتوموبيل راني
driving,سوق
driving,رانندگي
driving test,امتحان رانندگي
drizzle,ريز باريدن
drizzle,باران ريز
drizzle,باران نم نم
droll,مسخره آميز
dromedary,هيون
dromedary,جمازه
drone,سخن يکنواخت
drool,اظهارخوشحالي کردن
drop,قطره
drop,رها کردن
drop,بزمين زدن
drop,پايين آمدن
drop,چکه
drop behind,عقب ماندن
drop in,اتفاقا ديدن کردن
dropped,چکيده
dropper,چکاننده
dropsic,استسقائي
dropsic,استسقائي گرفته
dropsical,خيزدار
dropsied,مستسقي
dropsy,استسقاء
dross,مواد خارجي
drought,خشکسال
drought,خشک سالي
drought,تنگسال
drought,خشکسالي
drought,خشکي
drover,چوبدار
drover,گله فروش
drown,غرق شدن
drown,در آب خفه کردن
drown,غرق کردن
drown,زير آب فرو بردن
drown,در آب خفه شدن
drowned,غريق
drowned,غرقه
drowned,مغروق
drowned,مستغرق
drowned,غرق
drowned,غرقاب
drowning,غريق
drowning,غرق
drowning,غرق
drowse,نوم
drowse,کند شدن
drowsiness,خماري
drowsiness,خواب آلودي
drowsiness,خواب آلودگي
drowsy,کسل کننده
drowsy,چرت زن
drub,چوب زدن
drudge,جان کندن
drudgery,جان کني
drudgery,خرحمالي
drug,دوا زدن
drug,دوا دادن
drug,دارو خوراندن
drug,دارو
drug,دوا
drug addict,شيره اي
drug addict,شيره کش
drug addict,ترياکي
drug addict,حشيشي
drug house,شيره خانه
drug-addict,بنگي
drugs,مواد مخدر
drum,تبيره زدن
drum,کوس
drum,چليک
drum,طبل
drum,تنبک زدن
drum,تبيره
drum,ضرب
drum,تنبک
drum,کوش
drum,طبل زدن
drum major,طبل بزرگ
drum-like,طبلي
drumhead,روي طبل
drummer,طبل زن
drummer,طبال
drummer,طبل زن
drumstick,چوب طبل
drunk,مست
drunk,دژم
drunk,پاتيل شده
drunk,مخمور
drunkard,خماري
drunken,مستانه
drunken behavior,بدمستي
drunken state,عالم مستي
drunkenness,مستي
drupe,شفت
drupelet,آلوچه
drw a bow,کمان کشيدن
dry,ديمي
dry,خشک شدن
dry,بي آب
dry,بدون رطوبت
dry,خشک
dry cleaner,لباسشوي
dry cleaning,اتو شويي
dry farming,زراعت ديمي
dry farming,ديم
dry farming,ديم کاري
dry goods,اجناس خشک
dry land,خشکي
dry manners,اخلاقا خشک
dry season,فصل خشکي هوا
dry up,خشکيدن
dry up,خشک افتادن
dryer,خشک کننده
dryness,خشکي هوا
dryness,خشکي
drysalter,کالباس فروش
dual number,تثنيه
Dualaim,دواليم
dualism,دوتاپرستي
dualist,ثنوي
dualist,مشرک
duality,دوئيت
duality,ثنويت
dub,دوبله کردن
dubbin,عمل پيراستن
Dubi,دبي
dubious,مشتبه
dubious,مشکوک
Dubois,دوبوا
ducal,مقام دوک
duchess,دوشس
duchess,بانوي دوک
duck,مرغابي
duck,مرغابي ماده
duck,اردک
duck,اردک ماده
duck,زير آب رفتن
duck,اردک نر
duck,بط
duckfooted,پا اردکي
ducking,جا خالي
duckling,بچه اردک
ducks and drakes,سنگ پله
duct,مجراي لنف
duct,لوله آب
ductule,مجراي کوچک
dud,منفجر نشده
dud,هرچيز خراب
duddie,کهنه پوش
duddy,کهنه پوش
due,قابل پرداخت
due,پرداختني
due date,موعد مقرر
due dates,مواعد
due to,براثر
due to,بمناسبت
due to,بر اثر
due to,به دليل
due to,به سبب
due to,به مناسبت
due to the fact that,بهدليلاينکه
duet,آواز دو نفري
duff,سرقت گوسفند
dug,کنده
dugout,کنده شده
duke,دوک
dull,راکد
dull,کند
dull,بيمزه
dull,کند ذهن
dull,کم ذهن
dull,بي استعداد
dull,کم فهم
dullness,کندي
dullness,کند ذهني
dullness,رکود
duly,بقدر لازم
duly,بموقع خود
dum,کم هوش
dumb,مصمت
dumb,کم هوش
dumb,کودن
dumb,بکم
dumb,کند ذهن
dumb,بي فراست
dumb,بي زبان
dumb-acting,لال بازي
dumbbell,دمبل
